pk_hash,linked_pct,linked_year,linked_method,max_pct,max_pct_year,latest_pct,latest_year,n_attempts,gap,band,is_not_highest,pct_diff,is_dup_best
f81d56882d5a,15.0,2012,EXACT,15.0,2012,15.0,2012,1,6.0,B2,False,0.0,False
b9cf2bb0317e,26.0,2008,EXACT,26.0,2008,26.0,2008,1,6.0,B3,False,0.0,False
62c5a0cb3331,28.0,2009,EXACT,28.0,2009,28.0,2009,1,6.0,B3,False,0.0,False
791a3c106c34,14.0,2011,EXACT,14.0,2011,14.0,2011,1,8.0,B2,False,0.0,False
a53a6c4386fe,22.0,2007,EXACT,22.0,2007,22.0,2007,1,6.0,B3,False,0.0,False
faac6dccfc61,32.0,2011,MANUAL_APPNO_MATCH,32.0,2011,32.0,2011,1,,B4,False,0.0,False
f0d92052cf5e,22.0,2008,EXACT,22.0,2008,22.0,2008,1,6.0,B3,False,0.0,False
fc8e10e723a6,30.0,2006,EXACT,30.0,2006,30.0,2006,1,6.0,B4,False,0.0,False
c7cd95f11059,39.0,2014,EXACT,39.0,2014,39.0,2014,1,5.0,B4,False,0.0,False
023839c75f96,12.0,2008,EXACT,12.0,2008,12.0,2008,1,10.0,B2,False,0.0,False
589b3544eae1,30.0,2012,MANUAL_APPNO_MATCH,30.0,2012,30.0,2012,1,,B4,False,0.0,False
04ff23feecb5,18.0,2013,EXACT,18.0,2013,18.0,2013,1,9.0,B2,False,0.0,False
339b830f1808,28.0,2010,EXACT,28.0,2010,28.0,2010,1,6.0,B3,False,0.0,False
97fbaa62f67b,31.0,2009,EXACT,31.0,2009,31.0,2009,1,5.0,B4,False,0.0,False
251e213d1a45,29.0,2011,EXACT,29.0,2011,29.0,2011,1,6.0,B3,False,0.0,False
7fd8ecef1af6,19.0,2007,EXACT,19.0,2007,19.0,2007,1,7.0,B2,False,0.0,False
d8adc51f0cc8,30.0,2014,EXACT,30.0,2014,30.0,2014,1,5.0,B4,False,0.0,False
db13c154a8ed,11.0,2009,MANUAL_APPNO_MATCH,11.0,2009,11.0,2009,1,,B2,False,0.0,False
3e29ccb0e229,31.0,2009,EXACT,31.0,2009,31.0,2009,1,7.0,B4,False,0.0,False
256cb4b3cf02,17.0,2006,EXACT,17.0,2006,17.0,2006,1,7.0,B2,False,0.0,False
4feb67e992e3,35.0,2011,EXACT,35.0,2011,35.0,2011,1,8.0,B4,False,0.0,False
d79b83f91740,38.0,2009,EXACT,38.0,2009,38.0,2009,1,7.0,B4,False,0.0,False
8559e5369534,16.0,2011,EXACT,16.0,2011,16.0,2011,1,7.0,B2,False,0.0,False
637d72301c96,32.0,2012,EXACT,32.0,2012,32.0,2012,1,6.0,B4,False,0.0,False
0ff6d2ca3317,24.0,2009,EXACT,24.0,2009,24.0,2009,1,6.0,B3,False,0.0,False
2b92e6d1af49,39.0,2012,EXACT,39.0,2012,39.0,2012,1,8.0,B4,False,0.0,False
e4dbb7141590,4.0,2010,EXACT,4.0,2010,4.0,2010,1,8.0,B1,False,0.0,False
f3f462d1c009,17.0,2011,EXACT,17.0,2011,17.0,2011,1,9.0,B2,False,0.0,False
b798d7aa3233,39.0,2011,EXACT,39.0,2011,39.0,2011,1,6.0,B4,False,0.0,False
466989c749ab,8.0,2007,EXACT,8.0,2007,8.0,2007,1,7.0,B1,False,0.0,False
9441073b9f16,27.0,2006,EXACT,27.0,2006,27.0,2006,1,5.0,B3,False,0.0,False
398a2cd2557d,32.0,2008,EXACT,32.0,2008,32.0,2008,1,6.0,B4,False,0.0,False
de7e170a884d,9.0,2006,EXACT,9.0,2006,9.0,2006,1,6.0,B1,False,0.0,False
54f60b0b232f,17.0,2009,EXACT,17.0,2009,17.0,2009,1,10.0,B2,False,0.0,False
11256a927031,36.0,2007,MANUAL_APPNO_MATCH,36.0,2007,36.0,2007,1,,B4,False,0.0,False
96cee2fb80ad,19.0,2009,EXACT,19.0,2009,19.0,2009,1,8.0,B2,False,0.0,False
3939efd4b21d,27.0,2010,EXACT,27.0,2010,27.0,2010,1,12.0,B3,False,0.0,False
4f1e84c005cb,6.0,2007,EXACT,6.0,2007,6.0,2007,1,7.0,B1,False,0.0,False
78317dbe7f6f,36.0,2011,EXACT,36.0,2011,36.0,2011,1,9.0,B4,False,0.0,False
4a9dfe9e36a2,23.0,2010,EXACT,23.0,2010,23.0,2010,1,5.0,B3,False,0.0,False
3db5bb4a331b,33.0,2010,EXACT,33.0,2010,33.0,2010,1,6.0,B4,False,0.0,False
a38ca6c432d2,2.0,2012,EXACT,2.0,2012,2.0,2012,1,7.0,B1,False,0.0,False
ea19ce800ce1,32.0,2012,EXACT,32.0,2012,32.0,2012,1,7.0,B4,False,0.0,False
028086b2dbfe,32.0,2007,EXACT,32.0,2007,32.0,2007,1,5.0,B4,False,0.0,False
4821d4b70689,26.0,2014,EXACT,26.0,2014,26.0,2014,1,5.0,B3,False,0.0,False
09c4219a8075,37.0,2011,EXACT,37.0,2011,37.0,2011,1,7.0,B4,False,0.0,False
ee15dc4a46b0,10.0,2007,EXACT,10.0,2007,10.0,2007,1,7.0,B2,False,0.0,False
d4f09a2caedf,10.0,2011,EXACT,10.0,2011,10.0,2011,1,8.0,B2,False,0.0,False
ffde2121cf1d,38.0,2014,EXACT,38.0,2014,38.0,2014,1,7.0,B4,False,0.0,False
